Country,PeakHRTUse,PeakHRTUseYr,DecreaselowestTo,PctReduction,ReductionYr,parpctbrcapeakhrtuse,parpctbrcalowesthrtuse,changeparpct,eligibleage
Australia,21,2001,12,43,2002,12.8,7.7,5.1,40-75
Canada,45,2002,13.7,70,2006,24,8.8,15.2,50-69
Denmark,11,2003,9,19,2005,7.1,5.7,1.4,50-69
Finland,21,2003,12,43,2012,12.8,7.7,5.1,50-64
France,32,2001,11,66,2007,18.3,7.1,11.2,50-74
Iceland,22,2004,,61,,13.3,,13.3,40-69
Israel,20,2001,10,50,2007,12.3,6.5,5.8,50-74
Italy,12,2003,6.9,42,2001,7.7,,7.7,50-69
Japan,2.5,,,,,,,0,
Korea,,1997,4.5,39,2006,,,0,40-75
Netherlands,13,1997,6.6,50,2005,8.3,4.4,3.9,50-74
New Zealand,20,1997,11,45,2002,12.3,7.1,5.2,45-69
Norway,46,2000,,67,2007,24.4,,24.4,50-69
Poland,12,2002,,,,7.7,,7.7,50-69
Portugal,,,,,,,,0,
Saudi Arabia,46,,,,,24.4,,24.4,40-64
Spain ,11,1998,8.6,22,2002,7.1,5.7,1.4,45/50-69
Sweden,36,1999,9,75,2007,20.1,5.9,14.2,40-74
Switzerland,50,1996,46,,2002,25.9,24.4,1.5,50-69
United Kingdom,27.7,1998,12,57,2001,16.2,7.7,8.5,50-69
United States,42,2001,28,33,2003,22.7,16.4,6.3,40-75+
